context,anchor,relation,query,k,positive,id,zero_shot,finetuned,random
"Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.",Flexible Vision-Language Modeling,inspiration,"Background: Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.
Contribution: 'Flexible Vision-Language Modeling' inspired by ",1,Matryoshka Representation Learning,b84a9ecc-4eab-4643-9a7b-67d700642faf,several techniques to balance computational efficiency with performance,Large Vision-Language Models,local deformations that conform to the global trajectory
"Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.",framing the alignment of a large language model as a test-time greedy search,inspiration,"Background: Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.
Contribution: 'framing the alignment of a large language model as a test-time greedy search' inspired by ",1,a test-time greedy search to maximize the log-likelihood difference between small tuned and untuned models while sampling from the frozen large model,8f6623a5-628d-497b-9711-1056984a074f,a heuristic search problem,alignment in tuning large language models,modality feature interaction
"Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.",Traditional belief revision frameworks,inspiration,"Background: Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.
Contribution: 'Traditional belief revision frameworks' inspired by ",1,recent advances in human cognition,a8506d4a-b564-45b5-b71c-7023e6fbbc4e,Miller's cognitive model of explanation,a dataset to test language models' (language models) belief revision ability when presented with new evidence,the frequency spectrum
"Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.",adversarial patch defense,inspiration,"Background: Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.
Contribution: 'adversarial patch defense' inspired by ",1,an occlusion removal task,f61a55d3-b7b9-4ef2-b9a1-bc9a93bd162e,randomized smoothing in defense strategies,a proactive defensive strategy that actively contextualizes environmental information to address misaligned adversarial patches in 3D real-world settings,coalition negotiations
"Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.",model inversion,inspiration,"Background: Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.
Contribution: 'model inversion' inspired by ",1,recent work in inverse graphics,944b863e-2376-4317-af30-c8eeb005695d,the problem of model bias,an inverse model,RGBD video data collected from the robot agent
"Human Mesh Recovery from a single RGB image is a highly ambiguous problem, as similar 2D projections can correspond to multiple 3D interpretations. Most existing methods overlook this ambiguity and make a single prediction without accounting for the associated uncertainty, highlighting a need for approaches that can generate multiple predictions and evaluate the uncertainty of the outputs.",Human Mesh Recovery from a single RGB image,inspiration,"Background: Human Mesh Recovery from a single RGB image is a highly ambiguous problem, as similar 2D projections can correspond to multiple 3D interpretations. Most existing methods overlook this ambiguity and make a single prediction without accounting for the associated uncertainty, highlighting a need for approaches that can generate multiple predictions and evaluate the uncertainty of the outputs.
Contribution: 'Human Mesh Recovery from a single RGB image' inspired by ",1,generating a sequence of discrete tokens conditioned on an input image,09ba164a-f979-4c38-b98f-1b30c53f6575,an inference problem under high uncertainties,3D human reconstruction from a single RGB image,3D human mesh recovery from videos
"Understanding the human brain's processing capabilities can inspire advancements in machine learning algorithms and architectures. Previous methods in brain research were limited to identifying regions of interest for one subject at a time, restricting their applicability and scalability across multiple subjects.",a highly efficient processing unit,inspiration,"Background: Understanding the human brain's processing capabilities can inspire advancements in machine learning algorithms and architectures. Previous methods in brain research were limited to identifying regions of interest for one subject at a time, restricting their applicability and scalability across multiple subjects.
Contribution: 'a highly efficient processing unit' inspired by ",1,the human brain,b7adddd2-a097-4d59-930b-1136a3ee5ace,the specialized functions of the human brain's cortical regions,brain-like information processing,"in robots, it has been shown to be valuable for exploration"
"Current Dynamic Facial Expression Recognition methods often overlook the influence of scene context, focusing solely on facial information and leading to discrepancies between human annotators' emotional understanding and model outputs. This limitation highlights the need for approaches that better integrate environmental cues and body language to align with human cognitive processes in emotion recognition.",Dynamic Facial Expression Recognition,inspiration,"Background: Current Dynamic Facial Expression Recognition methods often overlook the influence of scene context, focusing solely on facial information and leading to discrepancies between human annotators' emotional understanding and model outputs. This limitation highlights the need for approaches that better integrate environmental cues and body language to align with human cognitive processes in emotion recognition.
Contribution: 'Dynamic Facial Expression Recognition' inspired by ",1,the human cognitive paradigm of emotions,d5d3b232-6290-4793-aa81-e5bbaa631151,the human cognitive paradigm of emotions,dynamic facial expression recognition data,symbolic reasoning
Previous Vision-Language Navigation agents struggle with accurate modality alignment in unexplored scenes due to limited navigation data and insufficient open-world alignment knowledge. This highlights a need for improved methods that can effectively discover and utilize landmarks in diverse visual observations to enhance navigation performance.,Vision-Language Navigation,inspiration,"Background: Previous Vision-Language Navigation agents struggle with accurate modality alignment in unexplored scenes due to limited navigation data and insufficient open-world alignment knowledge. This highlights a need for improved methods that can effectively discover and utilize landmarks in diverse visual observations to enhance navigation performance.
Contribution: 'Vision-Language Navigation' inspired by ",1,an open-world sequential landmark discovery problem,3e7cc406-00fd-46d3-a8b6-c3d7e31071bb,"Human navigation is facilitated through the association of actions with landmarks, tapping into our ability to recognize salient features in our environment",Vision-Language Navigation agents,3D generative Artificial Intelligence
"The study addresses the challenges of local and global consistency in sketch colourisation, as well as the limitations of manual colour assignments and textual prompts. It also highlights the need for a method that balances precision and convenience while being fast and training-free for practical use in creative applications.",a novel approach to sketch colourisation,inspiration,"Background: The study addresses the challenges of local and global consistency in sketch colourisation, as well as the limitations of manual colour assignments and textual prompts. It also highlights the need for a method that balances precision and convenience while being fast and training-free for practical use in creative applications.
Contribution: 'a novel approach to sketch colourisation' inspired by ",1,the universal childhood activity of colouring and its professional applications in design and story-boarding,12cd838e-bb23-4975-b589-d8044a7668ec,the universal childhood activity of colouring and its professional applications in design and story-boarding,the sketch analysis task,Embed-Flow
"Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.",Flexible Vision-Language Modeling,inspiration,"Background: Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.
Contribution: 'Flexible Vision-Language Modeling' inspired by ",2,Matryoshka Representation Learning,b84a9ecc-4eab-4643-9a7b-67d700642faf,multi-task benchmarks in machine learning,Large Vision Language Model,a flow-conditioned policy
"Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.",framing the alignment of a large language model as a test-time greedy search,inspiration,"Background: Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.
Contribution: 'framing the alignment of a large language model as a test-time greedy search' inspired by ",2,a test-time greedy search to maximize the log-likelihood difference between small tuned and untuned models while sampling from the frozen large model,8f6623a5-628d-497b-9711-1056984a074f,a search problem,recent advances in efficiently tuning large language models,formal analytics
"Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.",Traditional belief revision frameworks,inspiration,"Background: Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.
Contribution: 'Traditional belief revision frameworks' inspired by ",2,recent advances in human cognition,a8506d4a-b564-45b5-b71c-7023e6fbbc4e,the cognitive process of human reasoning,Belief Change,CLIP for visual features
"Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.",adversarial patch defense,inspiration,"Background: Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.
Contribution: 'adversarial patch defense' inspired by ",2,an occlusion removal task,f61a55d3-b7b9-4ef2-b9a1-bc9a93bd162e,the controllable attack generation problem,"the Human Visual System, which utilizes spatial frequency channels to process visual signals, is immune to adversarial attacks",an in-context learning task
"Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.",model inversion,inspiration,"Background: Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.
Contribution: 'model inversion' inspired by ",2,recent work in inverse graphics,944b863e-2376-4317-af30-c8eeb005695d,an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions,"conformal prediction, a widely recognized statistical technique for quantifying uncertainty by transforming predictive model outputs into prediction sets","map point-based 3D data into discrete tokens with different levels of detail, naturally establishing a sequential relationship between different levels suitable for autoregressive modeling"
"Human Mesh Recovery from a single RGB image is a highly ambiguous problem, as similar 2D projections can correspond to multiple 3D interpretations. Most existing methods overlook this ambiguity and make a single prediction without accounting for the associated uncertainty, highlighting a need for approaches that can generate multiple predictions and evaluate the uncertainty of the outputs.",Human Mesh Recovery from a single RGB image,inspiration,"Background: Human Mesh Recovery from a single RGB image is a highly ambiguous problem, as similar 2D projections can correspond to multiple 3D interpretations. Most existing methods overlook this ambiguity and make a single prediction without accounting for the associated uncertainty, highlighting a need for approaches that can generate multiple predictions and evaluate the uncertainty of the outputs.
Contribution: 'Human Mesh Recovery from a single RGB image' inspired by ",2,generating a sequence of discrete tokens conditioned on an input image,09ba164a-f979-4c38-b98f-1b30c53f6575,an uncertainty quantification problem,3D human mesh recovery from videos,3D visual representations
"Understanding the human brain's processing capabilities can inspire advancements in machine learning algorithms and architectures. Previous methods in brain research were limited to identifying regions of interest for one subject at a time, restricting their applicability and scalability across multiple subjects.",a highly efficient processing unit,inspiration,"Background: Understanding the human brain's processing capabilities can inspire advancements in machine learning algorithms and architectures. Previous methods in brain research were limited to identifying regions of interest for one subject at a time, restricting their applicability and scalability across multiple subjects.
Contribution: 'a highly efficient processing unit' inspired by ",2,the human brain,b7adddd2-a097-4d59-930b-1136a3ee5ace,the intricacies of the human brain,recent advances in computational neuroscience,Group Normalization feature enhancement techniques
"Current Dynamic Facial Expression Recognition methods often overlook the influence of scene context, focusing solely on facial information and leading to discrepancies between human annotators' emotional understanding and model outputs. This limitation highlights the need for approaches that better integrate environmental cues and body language to align with human cognitive processes in emotion recognition.",Dynamic Facial Expression Recognition,inspiration,"Background: Current Dynamic Facial Expression Recognition methods often overlook the influence of scene context, focusing solely on facial information and leading to discrepancies between human annotators' emotional understanding and model outputs. This limitation highlights the need for approaches that better integrate environmental cues and body language to align with human cognitive processes in emotion recognition.
Contribution: 'Dynamic Facial Expression Recognition' inspired by ",2,the human cognitive paradigm of emotions,d5d3b232-6290-4793-aa81-e5bbaa631151,"the process of identifying, understanding, and regulating emotions","Facial expression perception in humans inherently relies on prior knowledge and contextual cues, contributing to efficient and flexible processing",foundational weather models
Previous Vision-Language Navigation agents struggle with accurate modality alignment in unexplored scenes due to limited navigation data and insufficient open-world alignment knowledge. This highlights a need for improved methods that can effectively discover and utilize landmarks in diverse visual observations to enhance navigation performance.,Vision-Language Navigation,inspiration,"Background: Previous Vision-Language Navigation agents struggle with accurate modality alignment in unexplored scenes due to limited navigation data and insufficient open-world alignment knowledge. This highlights a need for improved methods that can effectively discover and utilize landmarks in diverse visual observations to enhance navigation performance.
Contribution: 'Vision-Language Navigation' inspired by ",2,an open-world sequential landmark discovery problem,3e7cc406-00fd-46d3-a8b6-c3d7e31071bb,"mapmaking, which has developed tactics for visualizing and iterating on maps even when full coverage is not possible",training vision-and-language navigation agents,wall-following behavior
"The study addresses the challenges of local and global consistency in sketch colourisation, as well as the limitations of manual colour assignments and textual prompts. It also highlights the need for a method that balances precision and convenience while being fast and training-free for practical use in creative applications.",a novel approach to sketch colourisation,inspiration,"Background: The study addresses the challenges of local and global consistency in sketch colourisation, as well as the limitations of manual colour assignments and textual prompts. It also highlights the need for a method that balances precision and convenience while being fast and training-free for practical use in creative applications.
Contribution: 'a novel approach to sketch colourisation' inspired by ",2,the universal childhood activity of colouring and its professional applications in design and story-boarding,12cd838e-bb23-4975-b589-d8044a7668ec,the artists painting process,human sketch understanding,3D geometries
"Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.",Flexible Vision-Language Modeling,inspiration,"Background: Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.
Contribution: 'Flexible Vision-Language Modeling' inspired by ",3,Matryoshka Representation Learning,b84a9ecc-4eab-4643-9a7b-67d700642faf,recent work that predicts the probabilities of subsequent tokens using multiple heads,the success of pre-trained large vision-language models in many other applications,Mixed-Integer Linear Programming instances
"Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.",framing the alignment of a large language model as a test-time greedy search,inspiration,"Background: Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.
Contribution: 'framing the alignment of a large language model as a test-time greedy search' inspired by ",3,a test-time greedy search to maximize the log-likelihood difference between small tuned and untuned models while sampling from the frozen large model,8f6623a5-628d-497b-9711-1056984a074f,a large-scale optimization problem,aligning large language models,"a newly proposed reactive planner, DWA-3D"
"Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.",Traditional belief revision frameworks,inspiration,"Background: Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.
Contribution: 'Traditional belief revision frameworks' inspired by ",3,recent advances in human cognition,a8506d4a-b564-45b5-b71c-7023e6fbbc4e,human cognitive reasoning habits,theories in human deliberation,pre-trained authorship embeddings
"Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.",adversarial patch defense,inspiration,"Background: Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.
Contribution: 'adversarial patch defense' inspired by ",3,an occlusion removal task,f61a55d3-b7b9-4ef2-b9a1-bc9a93bd162e,"the Human Visual System, which utilizes spatial frequency channels to process visual signals, is immune to adversarial attacks",protect neural networks against adversarial attacks,high-performance models like XGBoost and LightGBM
"Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.",model inversion,inspiration,"Background: Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.
Contribution: 'model inversion' inspired by ",3,recent work in inverse graphics,944b863e-2376-4317-af30-c8eeb005695d,the evolution of bias-related features in Large Language Models,the reversal curse - a failure of models to learn the same conditional distribution under different permutations of the variables,an intra-layer node-level feature propagation process
